idChamber;date;Air humidity;Air temperature;Light;VPD
C3;2018-02-22 01:00:00;63.07;17.27;7.71;0.727
C3;2018-02-22 01:10:00;61.81;17.07;7.71;0.742
C3;2018-02-22 01:20:00;62.5;17.05;7.71;0.728
C3;2018-02-22 01:30:00;62.6;16.78;7.71;0.714
C3;2018-02-22 01:40:00;63.79;17.23;7.71;0.711
C3;2018-02-22 01:50:00;61.38;16.87;7.71;0.741
C3;2018-02-22 02:00:00;63.62;16.99;7.71;0.703
C3;2018-02-22 02:10:00;62.05;17.21;7.71;0.744
C3;2018-02-22 02:20:00;62.36;16.74;7.71;0.717
C3;2018-02-22 02:30:00;63.13;17.29;7.71;0.726
C3;2018-02-22 02:40:00;61.07;16.54;7.71;0.732
C3;2018-02-22 02:50:00;63.78;17.64;7.65;0.73
C3;2018-02-22 03:00:00;60.74;16.4;7.71;0.731
C3;2018-02-22 03:10:00;63.66;17.64;7.71;0.733
C3;2018-02-22 03:20:00;61.55;16.41;7.71;0.717
C3;2018-02-22 03:30:00;63.47;17.7;7.71;0.739
C3;2018-02-22 03:40:00;60.41;16.28;7.71;0.732
C3;2018-02-22 03:50:00;62.64;17.31;7.71;0.737
C3;2018-02-22 04:00:00;61.09;16.9;7.65;0.748
C3;2018-02-22 04:10:00;64.19;17.43;7.71;0.713
C3;2018-02-22 04:20:00;61.58;16.82;7.72;0.734
C3;2018-02-22 04:30:00;62.85;17.12;7.72;0.724
C3;2018-02-22 04:40:00;62.07;17.14;7.72;0.74
C3;2018-02-22 04:50:00;62.5;16.96;7.72;0.723
C3;2018-02-22 05:00:00;62.42;17.22;7.72;0.737
C3;2018-02-22 05:10:00;62.65;16.71;7.72;0.71
C3;2018-02-22 05:20:00;63.21;17.25;7.72;0.723
C3;2018-02-22 05:30:00;61.28;16.72;7.72;0.736
C3;2018-02-22 05:40:00;64.21;17.69;7.72;0.724
C3;2018-02-22 05:50:00;62.92;17.31;7.72;0.732
C3;2018-02-22 06:00:00;62.36;17.29;7.72;0.742
C3;2018-02-22 06:10:00;62.96;17.3;7.72;0.731
C3;2018-02-22 06:20:00;62.84;17.2;7.72;0.729
C3;2018-02-22 06:30:00;62.32;17.19;7.72;0.739
C3;2018-02-22 06:40:00;63.19;17.21;7.72;0.722
C3;2018-02-22 06:50:00;62.35;17.27;7.72;0.741
C3;2018-02-22 07:00:00;63.86;17.26;7.72;0.712
C3;2018-02-22 07:10:00;62.92;17.12;7.72;0.723
C3;2018-02-22 07:20:00;63.78;17.43;7.72;0.72
C3;2018-02-22 07:30:00;62.69;17.39;7.72;0.74
C3;2018-02-22 07:40:00;63.08;17.08;7.72;0.719
C3;2018-02-22 07:50:00;63.52;17.49;7.72;0.728
C3;2018-02-22 08:00:00;62.46;17.22;7.72;0.737
C3;2018-02-22 08:10:00;64.81;18.13;135.1;0.732
C3;2018-02-22 08:20:00;67.88;19.89;151.8;0.745
C3;2018-02-22 08:30:00;67.18;20;155.8;0.767
C3;2018-02-22 08:40:00;67.81;19.92;149.3;0.748
C3;2018-02-22 08:50:00;66.88;19.8;157.7;0.764
C3;2018-02-22 09:00:00;67.24;19.79;157.9;0.756
C3;2018-02-22 09:10:00;67.27;19.97;142.7;0.764
C3;2018-02-22 09:20:00;68.25;20.25;156.8;0.754
C3;2018-02-22 09:30:00;67.78;20.01;158.1;0.754
C3;2018-02-22 09:40:00;66.85;19.72;146.3;0.762
C3;2018-02-22 09:50:00;67.77;20.03;157.6;0.755
C3;2018-02-22 10:00:00;68.08;20.22;158.3;0.756
C3;2018-02-22 10:10:00;67.83;20.01;146.9;0.752
C3;2018-02-22 10:20:00;67.04;19.78;158.2;0.759
C3;2018-02-22 10:30:00;67.94;20.35;159.2;0.765
C3;2018-02-22 10:40:00;67.31;19.93;147.5;0.76
C3;2018-02-22 10:50:00;67.56;19.95;155.2;0.756
C3;2018-02-22 11:00:00;61.12;20.64;155.6;0.953
C3;2018-02-22 11:10:00;40.56;21.21;143;1.497
C3;2018-02-22 11:20:00;37.78;20.39;146.4;1.489
C3;2018-02-22 11:30:00;37.45;20.49;153.8;1.507
C3;2018-02-22 11:40:00;36.59;20.14;139.6;1.495
C3;2018-02-22 11:50:00;37.96;20.6;146.4;1.504
C3;2018-02-22 12:00:00;36.27;20.3;154.3;1.518
C3;2018-02-22 12:10:00;38.31;20.34;145.3;1.472
C3;2018-02-22 12:20:00;37.32;20.3;148.4;1.493
C3;2018-02-22 12:30:00;37.67;20.32;153.5;1.485
C3;2018-02-22 12:40:00;37.57;20.42;145.5;1.497
C3;2018-02-22 12:50:00;37.6;20.5;150;1.504
C3;2018-02-22 13:00:00;41.63;20.16;154.1;1.383
C3;2018-02-22 13:10:00;65.86;18.7;141.4;0.736
C3;2018-02-22 13:20:00;67.97;20.29;146.8;0.762
C3;2018-02-22 13:30:00;67.99;20.04;152.3;0.749
C3;2018-02-22 13:40:00;67.51;19.84;145.5;0.752
C3;2018-02-22 13:50:00;67.9;20.17;149.3;0.758
C3;2018-02-22 14:00:00;68.34;20.22;155;0.75
C3;2018-02-22 14:10:00;66.98;19.83;143.9;0.763
C3;2018-02-22 14:20:00;68.18;20.28;147.1;0.757
C3;2018-02-22 14:30:00;67.85;19.96;147.8;0.749
C3;2018-02-22 14:40:00;67.51;20.08;145.9;0.763
C3;2018-02-22 14:50:00;67.99;20.19;150.9;0.757
C3;2018-02-22 15:00:00;67.57;19.97;152.4;0.756
C3;2018-02-22 15:10:00;67.48;20.05;147.8;0.762
C3;2018-02-22 15:20:00;68.29;20.4;160;0.759
C3;2018-02-22 15:30:00;66.99;19.83;161;0.763
C3;2018-02-22 15:40:00;68.21;20.43;149.1;0.763
C3;2018-02-22 15:50:00;67.09;19.83;162;0.761
C3;2018-02-22 16:00:00;68.46;20.43;161.5;0.757
C3;2018-02-22 16:10:00;67.48;19.91;149.1;0.756
C3;2018-02-22 16:20:00;67.66;20.22;163.7;0.766
C3;2018-02-22 16:30:00;68.24;20.25;162.9;0.754
C3;2018-02-22 16:40:00;67.56;19.93;151.2;0.755
C3;2018-02-22 16:50:00;67.97;20.19;161.1;0.757
C3;2018-02-22 17:00:00;68.14;20.14;159.4;0.751
C3;2018-02-22 17:10:00;67.06;19.7;148.8;0.755
C3;2018-02-22 17:20:00;68.06;20.19;157.9;0.755
C3;2018-02-22 17:30:00;68.51;20.1;155.9;0.74
C3;2018-02-22 17:40:00;67.58;19.84;144.4;0.75
C3;2018-02-22 17:50:00;67.71;20.16;154.3;0.762
C3;2018-02-22 18:00:00;68.64;20.16;159.3;0.741
C3;2018-02-22 18:10:00;68.03;19.83;146.5;0.739
C3;2018-02-22 18:20:00;68.09;20.04;155.7;0.747
C3;2018-02-22 18:30:00;68.31;20.34;156.6;0.756
C3;2018-02-22 18:40:00;66.96;19.69;147.5;0.757
C3;2018-02-22 18:50:00;67.92;20.12;158.6;0.755
C3;2018-02-22 19:00:00;68.49;20.16;157.7;0.744
C3;2018-02-22 19:10:00;67.21;19.76;146.5;0.755
C3;2018-02-22 19:20:00;67.48;20;156.8;0.76
C3;2018-02-22 19:30:00;68.65;20.18;157.4;0.741
C3;2018-02-22 19:40:00;68.12;19.79;148.1;0.735
C3;2018-02-22 19:50:00;67.29;19.99;151.8;0.764
C3;2018-02-22 20:00:00;67.91;20.16;154.7;0.757
C3;2018-02-22 20:10:00;64.57;18.39;7.52;0.748
C3;2018-02-22 20:20:00;62.42;16.9;7.65;0.723
C3;2018-02-22 20:30:00;63;17.48;7.71;0.738
C3;2018-02-22 20:40:00;63.05;17.16;7.71;0.723
C3;2018-02-22 20:50:00;62.56;17.22;7.52;0.735
C3;2018-02-22 21:00:00;64.77;17.19;7.71;0.69
C3;2018-02-22 21:10:00;63.03;16.95;7.65;0.714
C3;2018-02-22 21:20:00;63.88;17.34;7.65;0.714
C3;2018-02-22 21:30:00;61.27;16.66;7.71;0.734
C3;2018-02-22 21:40:00;63.15;17.54;7.71;0.738
C3;2018-02-22 21:50:00;61.77;16.52;7.71;0.718
C3;2018-02-22 22:00:00;64.03;17.54;7.71;0.721
C3;2018-02-22 22:10:00;61.49;16.67;7.71;0.73
C3;2018-02-22 22:20:00;63.74;17.39;7.71;0.72
C3;2018-02-22 22:30:00;60.34;16.57;7.65;0.747
C3;2018-02-22 22:40:00;64.86;17.32;7.71;0.694
C3;2018-02-22 22:50:00;61.62;16.85;7.71;0.735
C3;2018-02-22 23:00:00;62.71;16.88;7.71;0.716
C3;2018-02-22 23:10:00;62.41;17.06;7.71;0.73
C3;2018-02-22 23:20:00;63.24;16.82;7.59;0.703
C3;2018-02-22 23:30:00;62.62;16.93;7.71;0.72
C3;2018-02-22 23:40:00;62.42;17.02;7.71;0.728
C3;2018-02-22 23:50:00;63.69;17.65;7.71;0.733
C3;2018-02-23 00:00:00;63.66;17.17;7.71;0.712
C3;2018-02-23 00:10:00;63.23;17.54;7.71;0.737
C3;2018-02-23 00:20:00;63.21;17.34;7.71;0.728
C3;2018-02-23 00:30:00;62.91;17.26;7.65;0.73
C3;2018-02-23 00:40:00;62.67;17.4;7.71;0.741
C3;2018-02-23 00:50:00;63.65;17.02;7.71;0.705
C3;2018-02-23 01:00:00;63.24;17.51;7.71;0.735
C3;2018-02-23 01:10:00;62.83;17.21;7.71;0.729
C3;2018-02-23 01:20:00;63.36;17.27;7.59;0.722
C3;2018-02-23 01:30:00;63.34;17.35;7.71;0.726
C3;2018-02-23 01:40:00;62.97;17.15;7.71;0.724
C3;2018-02-23 01:50:00;62.44;17.17;7.59;0.735
C3;2018-02-23 02:00:00;63.7;17.32;7.71;0.717
C3;2018-02-23 02:10:00;63.28;17.39;7.71;0.729
C3;2018-02-23 02:20:00;62.89;17.07;7.71;0.722
C3;2018-02-23 02:30:00;63.82;17.37;7.71;0.717
C3;2018-02-23 02:40:00;63.08;17.09;7.71;0.719
C3;2018-02-23 02:50:00;64.1;17.42;7.71;0.714
C3;2018-02-23 03:00:00;63.06;17.11;7.71;0.72
C3;2018-02-23 03:10:00;63.59;17.3;7.71;0.718
C3;2018-02-23 03:20:00;63.88;17.4;7.71;0.717
C3;2018-02-23 03:30:00;63.12;17.1;7.71;0.718
C3;2018-02-23 03:40:00;63.1;17.15;7.71;0.722
C3;2018-02-23 03:50:00;63.98;17.38;7.71;0.714
C3;2018-02-23 04:00:00;63.46;17.25;7.65;0.719
C3;2018-02-23 04:10:00;63.23;17.1;7.71;0.717
C3;2018-02-23 04:20:00;63.39;17.14;7.72;0.715
C3;2018-02-23 04:30:00;63.86;17.41;7.72;0.718
C3;2018-02-23 04:40:00;63.85;17.08;7.72;0.703
C3;2018-02-23 04:50:00;63.82;17.44;7.72;0.72
C3;2018-02-23 05:00:00;62.97;17.13;7.65;0.723
C3;2018-02-23 05:10:00;63.77;17.23;7.72;0.712
C3;2018-02-23 05:20:00;63.29;17.14;7.72;0.717
C3;2018-02-23 05:30:00;64.37;17.28;7.72;0.702
C3;2018-02-23 05:40:00;62.94;17.11;7.72;0.723
C3;2018-02-23 05:50:00;64.73;17.35;7.72;0.698
C3;2018-02-23 06:00:00;64.17;17.49;7.72;0.716
C3;2018-02-23 06:10:00;62.85;17.07;7.72;0.723
C3;2018-02-23 06:20:00;64.11;17.47;7.72;0.716
C3;2018-02-23 06:30:00;63.46;17.17;7.72;0.715
C3;2018-02-23 06:40:00;64.05;17.23;7.72;0.706
C3;2018-02-23 06:50:00;63.24;17.27;7.72;0.724
C3;2018-02-23 07:00:00;63.77;17.22;7.72;0.711
C3;2018-02-23 07:10:00;63.59;17.18;7.72;0.713
C3;2018-02-23 07:20:00;63.58;17.07;7.72;0.708
C3;2018-02-23 07:30:00;64.51;17.3;7.72;0.7
C3;2018-02-23 07:40:00;63.61;17.13;7.72;0.71
C3;2018-02-23 07:50:00;63.21;17.24;7.72;0.724
C3;2018-02-23 08:00:00;62.98;17.09;7.72;0.721
C3;2018-02-23 08:10:00;64.94;18.33;132.4;0.738
C3;2018-02-23 08:20:00;67.14;19.88;151;0.762
C3;2018-02-23 08:30:00;68.43;20;153.7;0.738
C3;2018-02-23 08:40:00;67.74;19.81;147.2;0.744
C3;2018-02-23 08:50:00;66.32;19.43;155.7;0.759
C3;2018-02-23 09:00:00;66.33;19.63;152.7;0.769
C3;2018-02-23 09:10:00;66.56;19.33;152.1;0.75
C3;2018-02-23 09:20:00;67.69;20.17;119.8;0.763
C3;2018-02-23 09:30:00;67.23;20.3;91.9;0.78
C3;2018-02-23 09:40:00;65.97;19.71;87.6;0.782
C3;2018-02-23 09:50:00;29.78;21.29;85.6;1.781
C3;2018-02-23 10:00:00;20.02;21.94;84.5;2.106
C3;2018-02-23 10:10:00;16.51;21.68;95.3;2.163
C3;2018-02-23 10:20:00;17.05;21.27;96.3;2.097
C3;2018-02-23 10:30:00;18.25;21.31;93.7;2.072
C3;2018-02-23 10:40:00;20.94;20.76;53.1;1.937
C3;2018-02-23 10:50:00;19.54;21.31;29.76;2.038
C3;2018-02-23 11:00:00;16.66;21.73;28.74;2.166
C3;2018-02-23 11:10:00;15.36;21.23;32.6;2.134
C3;2018-02-23 11:20:00;15.25;20.13;22.69;1.998
C3;2018-02-23 11:30:00;24.73;20.13;21.8;1.772
C3;2018-02-23 11:40:00;20.08;20.43;22.05;1.918
C3;2018-02-23 11:50:00;24.96;20.08;21.86;1.762
C3;2018-02-23 12:00:00;27.48;20.58;22.25;1.757
C3;2018-02-23 12:10:00;20.44;20.11;22.05;1.872
C3;2018-02-23 12:20:00;29.73;20.51;21.93;1.695
C3;2018-02-23 12:30:00;19.16;20.23;22.25;1.916
C3;2018-02-23 12:40:00;28.22;20.38;22.12;1.717
C3;2018-02-23 12:50:00;19.75;20.44;22.5;1.926
C3;2018-02-23 13:00:00;24.27;20.17;22.12;1.788
C3;2018-02-23 13:10:00;23.93;20.54;21.93;1.838
C3;2018-02-23 13:20:00;21.95;20.45;20.38;1.876
C3;2018-02-23 13:30:00;17.91;20.48;21.09;1.976
C3;2018-02-23 13:40:00;22.83;19.9;22.7;1.793
C3;2018-02-23 13:50:00;24.99;19.45;23.02;1.694
C3;2018-02-23 14:00:00;26.39;19.84;23.15;1.703
C3;2018-02-23 14:10:00;27.2;20.5;23.02;1.755
C3;2018-02-23 14:20:00;27.72;20.88;23.15;1.783
C3;2018-02-23 14:30:00;27.5;20.71;22.96;1.77
C3;2018-02-23 14:40:00;27.03;20.21;23.08;1.728
C3;2018-02-23 14:50:00;27.21;19.89;22.89;1.69
C3;2018-02-23 15:00:00;28.11;20.03;23.15;1.683
C3;2018-02-23 15:10:00;29;20.38;23.02;1.699
C3;2018-02-23 15:20:00;29.55;20.69;23.08;1.719
C3;2018-02-23 15:30:00;29.25;20.54;22.95;1.71
C3;2018-02-23 15:40:00;28.6;20.1;23.15;1.679
C3;2018-02-23 15:50:00;28.87;19.89;22.89;1.651
C3;2018-02-23 16:00:00;29.76;20.14;23.08;1.655
C3;2018-02-23 16:10:00;30.5;20.55;23.08;1.68
C3;2018-02-23 16:20:00;30.71;20.65;23.02;1.686
C3;2018-02-23 16:30:00;30.05;20.35;23.02;1.671
C3;2018-02-23 16:40:00;29.63;20.01;22.76;1.645
C3;2018-02-23 16:50:00;30.13;20.08;22.89;1.642
C3;2018-02-23 17:00:00;30.83;20.43;23.14;1.66
C3;2018-02-23 17:10:00;31.18;20.63;23.01;1.672
C3;2018-02-23 17:20:00;30.57;20.37;22.82;1.66
C3;2018-02-23 17:30:00;29.93;19.93;22.95;1.631
C3;2018-02-23 17:40:00;30.42;19.85;23.08;1.611
C3;2018-02-23 17:50:00;31.22;20.09;23.08;1.617
C3;2018-02-23 18:00:00;31.87;20.5;23.02;1.642
C3;2018-02-23 18:10:00;31.98;20.71;23.08;1.661
C3;2018-02-23 18:20:00;31.1;20.44;23.08;1.655
C3;2018-02-23 18:30:00;30.31;19.99;23.14;1.628
C3;2018-02-23 18:40:00;30.76;19.93;23.15;1.611
C3;2018-02-23 18:50:00;31.49;20.2;23.15;1.621
C3;2018-02-23 19:00:00;31.98;20.6;23.15;1.65
C3;2018-02-23 19:10:00;31.71;20.71;23.15;1.667
C3;2018-02-23 19:20:00;30.63;20.34;23.15;1.655
C3;2018-02-23 19:30:00;30.03;19.87;23.15;1.623
C3;2018-02-23 19:40:00;30.65;19.87;23.15;1.608
C3;2018-02-23 19:50:00;31.31;20.2;23.15;1.625
C3;2018-02-23 20:00:00;31.59;20.61;23.15;1.66
C3;2018-02-23 20:10:00;31.03;20.37;7.72;1.649
C3;2018-02-23 20:20:00;30.07;19.34;7.72;1.569
C3;2018-02-23 20:30:00;29.21;18.08;7.72;1.468
C3;2018-02-23 20:40:00;28.84;16.88;7.72;1.368
C3;2018-02-23 20:50:00;29.62;16.55;7.72;1.325
C3;2018-02-23 21:00:00;30.53;17.01;7.72;1.346
C3;2018-02-23 21:10:00;31.19;17.72;7.72;1.394
C3;2018-02-23 21:20:00;31.48;17.99;7.72;1.412
C3;2018-02-23 21:30:00;31.25;17.47;7.72;1.372
C3;2018-02-23 21:40:00;31.47;16.87;7.72;1.316
C3;2018-02-23 21:50:00;32.04;16.9;7.72;1.308
C3;2018-02-23 22:00:00;32.34;17.45;7.72;1.348
C3;2018-02-23 22:10:00;32.32;17.94;7.72;1.39
C3;2018-02-23 22:20:00;31.93;17.69;7.72;1.377
C3;2018-02-23 22:30:00;31.83;17.05;7.72;1.324
C3;2018-02-23 22:40:00;32.33;16.86;7.72;1.299
C3;2018-02-23 22:50:00;32.57;17.34;7.72;1.334
C3;2018-02-23 23:00:00;32.49;17.89;7.72;1.383
C3;2018-02-23 23:10:00;32.14;17.93;7.72;1.394
C3;2018-02-23 23:20:00;31.65;17.24;7.72;1.344
C3;2018-02-23 23:30:00;31.99;16.83;7.72;1.303
C3;2018-02-23 23:40:00;32.31;17.16;7.72;1.324
C3;2018-02-23 23:50:00;32.28;17.76;7.72;1.376
C3;2018-02-24 00:00:00;32.01;17.99;7.72;1.401
